Date,Open,High,Low,Close,Volume,SPY R
19/04/2007,146.55,147.4,146.36,147.23,103366544,-0.00027161
20/04/2007,148.22,148.62,147.04,148.62,124129432,0.009441011
23/04/2007,148.37,148.73,147.97,148.06,77586136,-0.003767999
24/04/2007,148.23,148.4,147.32,148.12,114476704,0.000405241
25/04/2007,148.73,149.66,148.02,149.48,109171936,0.009181745
26/04/2007,149.49,149.8,149.1,149.65,88758256,0.001137276
27/04/2007,149.09,149.74,148.84,149.53,108197352,-0.000801871
30/04/2007,149.64,149.74,148.21,148.29,101022784,-0.00829265
01/05/2007,148.42,149.47,147.67,148.67,134447328,0.002562546
02/05/2007,148.9,149.95,148.75,149.54,87183216,0.005851887
03/05/2007,149.97,150.4,149.05,150.35,87865744,0.005416611
04/05/2007,150.75,151.12,150.22,150.92,96424728,0.003791154
07/05/2007,150.88,151.2,150.81,150.95,63691548,0.000198781
08/05/2007,150.58,150.92,150.13,150.75,81538936,-0.001324942
09/05/2007,150.64,152.82,150.37,151.16,102950784,0.002719735
10/05/2007,150.73,151.02,149.27,149.58,153702480,-0.010452501
11/05/2007,149.75,150.93,149.72,150.86,113415744,0.008557294
14/05/2007,150.86,151.3,149.79,150.53,108065800,-0.002187459
15/05/2007,150.7,151.67,150.19,150.57,180954816,0.000265728
16/05/2007,150.8,151.63,150.38,151.6,114674128,0.006840672
17/05/2007,151.38,151.96,151.11,151.3,101569216,-0.001978892
18/05/2007,152.01,152.62,151.81,152.62,99187840,0.008724389
21/05/2007,152.58,153.23,152.5,152.54,174709152,-0.000524178
22/05/2007,152.7,153.16,152.38,152.42,82284088,-0.000786679
23/05/2007,152.95,153.5,152.36,152.44,133961928,0.000131216
24/05/2007,152.53,153.21,150.74,151.06,187777504,-0.009052742
25/05/2007,151.49,152.02,151.18,151.69,83309624,0.004170528
29/05/2007,151.94,152.5,151.45,152.24,83961896,0.003625816
30/05/2007,151.46,153.54,151.34,153.48,131293872,0.008145034
31/05/2007,153.66,153.89,153.12,153.32,115780224,-0.001042481
01/06/2007,153.88,154.4,153.51,154.08,107816224,0.004956953
04/06/2007,153.54,154.39,153.48,154.1,78077760,0.000129803
05/06/2007,153.74,153.9,152.86,153.49,127966656,-0.003958469
06/06/2007,152.91,152.95,151.75,151.84,164156416,-0.010749886
07/06/2007,151.56,152.5,149.06,149.1,232536768,-0.018045311
08/06/2007,149.5,151.19,149.09,151.04,176989616,0.013011402
11/06/2007,150.93,151.95,150.7,151.3,102540272,0.001721398
12/06/2007,150.67,151.54,149.55,149.65,235777472,-0.010905486
13/06/2007,150.5,152.07,149.72,151.89,193259040,0.014968259
14/06/2007,152.06,153.12,152.03,152.86,146777232,0.006386201
15/06/2007,153.14,153.66,152.93,153.07,154433072,0.001373806
18/06/2007,153.38,153.39,152.66,152.89,88637360,-0.001175933
19/06/2007,152.55,153.38,152.36,153.27,111130064,0.002485447
20/06/2007,153.58,153.58,150.96,151.14,177247936,-0.013897044
21/06/2007,151.08,152.11,150.25,151.98,205276464,0.005557761
22/06/2007,151.52,151.77,149.85,150.55,205158928,-0.009409133
25/06/2007,150.24,151.25,149.02,149.83,232071664,-0.004782464
26/06/2007,150.21,150.46,148.28,148.29,198445632,-0.010278315
27/06/2007,148.13,150.57,148.06,150.4,213637760,0.014228876
28/06/2007,150.38,151.41,149.67,150.38,157704912,-0.000132979
29/06/2007,150.9,151.65,149.15,150.43,199701728,0.000332491
02/07/2007,150.87,151.92,150.77,151.79,103357328,0.00904075
03/07/2007,152.18,152.5,151.99,152.34,54048392,0.003623427
05/07/2007,152.4,152.56,151.63,152.18,89278640,-0.001050282
06/07/2007,152.38,153.17,151.93,152.98,81108856,0.005256933
09/07/2007,153.16,153.36,152.62,153,72348056,0.000130736
10/07/2007,152.29,152.61,150.77,150.92,180362560,-0.013594771
11/07/2007,150.75,152.05,150.52,151.99,175608112,0.007089849
12/07/2007,152.37,154.75,152.34,154.39,133882736,0.015790513
13/07/2007,154.57,155.46,154.39,154.85,111794256,0.002979468
16/07/2007,154.99,155.53,154.58,154.83,98382696,-0.000129157
17/07/2007,154.93,156,154.68,154.75,126201240,-0.000516696
18/07/2007,154.23,154.8,153.3,154.47,237889760,-0.00180937
19/07/2007,155.2,155.53,154.75,155.07,145249632,0.003884249
20/07/2007,154.89,155.25,152.29,153.5,245504496,-0.01012446
23/07/2007,154.18,154.72,153.3,153.97,121183840,0.003061889
24/07/2007,153.12,154.28,150.76,151.3,256875408,-0.01734104
25/07/2007,152.02,152.39,150.25,151.61,265214480,0.002048909
26/07/2007,150.19,150.8,146.39,148.02,467592480,-0.023679177
27/07/2007,148.21,148.87,145.05,145.11,422987648,-0.019659505
30/07/2007,145.93,147.81,145.29,147.38,283017536,0.015643305
31/07/2007,148.33,149.46,145.04,145.72,316976704,-0.011263401
01/08/2007,145.18,147.01,143.95,146.43,467669952,0.004872358
02/08/2007,146.76,147.76,145.26,147.6,294758368,0.007990166
03/08/2007,147.28,147.58,143.2,143.8,359398208,-0.025745257
06/08/2007,144.21,146.83,142.53,146.21,324979680,0.016759388
07/08/2007,145.94,149,145.23,147.77,280693472,0.010669585
08/08/2007,148.41,150.59,147.34,149.83,274930592,0.013940583
09/08/2007,147.43,149.95,145.29,145.39,358182336,-0.029633585
10/08/2007,144.39,146.5,143.12,144.71,411018368,-0.004677075
13/08/2007,146.5,146.89,145.02,145.23,181987408,0.003593394
14/08/2007,145.7,146.06,142.72,143.01,264134496,-0.015286098
15/08/2007,142.72,144.46,140.62,141.04,323833920,-0.01377526
16/08/2007,139.79,142.94,137,142.1,546743616,0.007515598
17/08/2007,145.5,148.35,141.39,144.71,388218016,0.018367347
20/08/2007,145.17,145.47,143.29,144.64,187320336,-0.000483726
21/08/2007,144.6,145.97,144.14,144.93,157066336,0.002004978
22/08/2007,146.01,146.8,145.33,146.65,173156672,0.011867798
23/08/2007,147.34,147.65,145.61,146.52,203915264,-0.000886464
24/08/2007,146.48,148.33,146.28,148.33,128901848,0.012353262
27/08/2007,147.85,148.33,146.73,146.95,113024248,-0.00930358
28/08/2007,146.16,146.25,143.46,143.72,219790624,-0.021980265
29/08/2007,144.37,146.74,143.96,146.54,207654192,0.019621486
30/08/2007,145.45,147.19,145.31,146.15,191817200,-0.002661389
31/08/2007,147.65,148.5,146.83,147.59,185477408,0.009852891
04/09/2007,147.45,149.98,147.4,149.08,120061968,0.010095535
05/09/2007,148.2,148.36,147,147.79,166261712,-0.008653072
06/09/2007,147.95,148.61,147.12,148.13,127878352,0.002300562
07/09/2007,146.48,146.89,145.26,146.07,235447584,-0.013906704
11/09/2007,146.24,147.7,146.13,147.49,162081872,0.009721366
12/09/2007,147.29,148.44,146.98,147.87,149591920,0.002576446
13/09/2007,148.55,149.45,148.2,148.91,154078944,0.007033205
14/09/2007,147.96,149.09,147.74,148.9,121910944,-6.71547E-05
17/09/2007,148.31,148.89,147.63,148.1,109870784,-0.005372733
18/09/2007,148.83,152.5,148.13,152.46,263759504,0.029439568
19/09/2007,153.41,154.39,148.1,153.36,193779840,0.005903188
20/09/2007,153.34,153.43,152.11,152.28,175186784,-0.007042254
21/09/2007,152.71,153.12,151.74,151.97,141463408,-0.002035724
24/09/2007,152.42,152.82,151.36,151.69,139450112,-0.001842469
25/09/2007,150.81,151.66,150.47,151.39,142296560,-0.001977718
26/09/2007,152.25,152.77,151.39,152.19,135588848,0.005284365
27/09/2007,152.91,153.1,152.19,153.09,102713272,0.005913661
28/09/2007,152.85,153.19,151.98,152.58,133372088,-0.003331374
01/10/2007,152.6,154.75,152.5,154.3,148162224,0.011272775
02/10/2007,154.61,154.65,153.81,154.09,112978768,-0.001360985
03/10/2007,153.81,154.41,153.01,153.78,119055840,-0.002011811
04/10/2007,154.11,154.26,153.59,154.02,76864344,0.001560671
05/10/2007,155.03,156.1,154.63,155.85,134584496,0.011881574
08/10/2007,155.39,155.49,154.77,155.02,71280352,-0.005325634
09/10/2007,155.6,156.5,155.03,156.48,94054256,0.00941814
10/10/2007,156.04,156.44,155.41,156.22,101711080,-0.001661554
11/10/2007,156.93,157.52,154.54,155.47,233529072,-0.004800922
12/10/2007,155.46,156.35,155.27,156.33,124546640,0.005531614
15/10/2007,156.27,156.36,153.94,155.01,161151824,-0.008443677
16/10/2007,154.41,156.48,153.47,153.78,166525632,-0.007934972
17/10/2007,154.98,155.09,152.47,154.25,216687232,0.003056314
18/10/2007,153.45,154.19,153.08,153.69,148457456,-0.00363047
19/10/2007,153.09,156.48,149.66,149.67,297169856,-0.026156549
22/10/2007,148.86,150.76,148.66,150.54,261989776,0.005812788
23/10/2007,151.46,151.95,150.25,151.76,180085056,0.008104158
24/10/2007,151.21,151.74,148,151.48,326694112,-0.001845018
25/10/2007,151.65,152.29,149.88,151.84,237374480,0.002376551
26/10/2007,153.06,153.62,151.9,153.62,176491200,0.011722866
29/10/2007,153.93,154.44,153.55,154.13,106840920,0.00331988
30/10/2007,153.45,153.75,152.87,153.06,132981520,-0.006942192
31/10/2007,153.98,155.27,152.84,154.65,220954384,0.010388083
01/11/2007,153.29,153.41,150.59,151.03,333040704,-0.023407695
02/11/2007,151.53,152,149.21,151.2,331228160,0.001125604
05/11/2007,149.64,151.16,148,150.05,226845936,-0.00760582
06/11/2007,150.86,152.11,149.9,152.07,177800400,0.013462179
07/11/2007,150.44,152.11,147.55,147.91,306639648,-0.027355823
08/11/2007,147.99,149.3,145.07,147.16,374510080,-0.005070651
09/11/2007,145.69,147.54,144.89,145.14,277745056,-0.013726556
12/11/2007,145.21,146.61,143.7,143.7,243087904,-0.009921455
13/11/2007,145.37,148.31,145.22,148.08,191117408,0.030480167
14/11/2007,149.22,149.4,146.78,147.67,230558768,-0.002768774
15/11/2007,146.57,147.49,144.52,145.54,263111072,-0.014424054
16/11/2007,146.31,146.47,144.57,145.79,308771040,0.001717741
