Open,High,Low,Close,Volume,TLT R
90.46,90.46,89.58,89.78,2020535,-0.008941384
90.15,90.59,89.62,89.91,1357170,0.001447984
89.82,90.39,89.76,90.34,1285400,0.00478256
89.8,90.24,89,89.66,3132800,-0.00752712
88.95,89.01,88.37,88.83,3854630,-0.009257194
88.2,88.29,87.1,87.15,5903200,-0.01891253
87.2,88.13,87.2,87.89,2217600,0.008491107
87.85,88.28,87.85,88.14,1943590,0.002844465
88.55,88.62,87.83,87.83,2513420,-0.003517132
87.88,88.13,87.43,87.91,2646389,0.000910851
88.05,88.78,88.05,88.52,1802900,0.006938915
89.05,89.33,88.22,88.72,1254645,0.002259376
88.38,88.98,88.38,88.88,1399400,0.001803427
88.75,89.37,88.68,89.16,887800,0.003150315
89.32,89.43,88.73,88.9,1164600,-0.002916106
88.74,89.32,88.74,89.24,1128700,0.003824522
88.41,88.44,87.71,88.28,2184700,-0.010757508
87.77,88.5,87.77,88.21,280100,-0.000792932
88.19,88.36,87.78,88.1,901000,-0.001247024
87.98,88.43,87.79,88.15,855500,0.000567537
87.54,88.09,87.45,88.06,1533402,-0.001020987
87.5,88.18,87.48,87.63,1133900,-0.004883034
87.48,87.72,87.4,87.65,553300,0.000228232
87.87,87.98,87.54,87.68,855500,0.00034227
87.66,88.95,87.66,88.64,2377000,0.010948905
89.11,89.34,89.02,89.13,1374100,0.005527978
89.65,90.6,89.61,90.46,2561800,0.014922024
90.47,90.65,90.07,90.47,1866500,0.000110546
90.41,90.52,90.1,90.35,1046516,-0.001326407
90.67,91.39,90.56,91.02,2829300,0.007415606
91.06,91.18,90.7,90.71,3062200,-0.003405845
90.44,91,90.34,90.5,1366471,-0.00231507
90.49,90.99,90.48,90.85,881000,0.003867403
90.73,91.01,90.42,90.8,1439600,-0.000550358
90.29,90.7,89.75,89.98,2498481,-0.009030837
90.05,91.01,89.96,90.75,2563400,0.008557457
90.39,91.54,90.21,91.04,1927700,0.003195592
91.2,91.39,90.8,91,1021500,-0.000439367
90.7,91.15,90.48,90.56,575800,-0.004835165
90.81,90.81,90.32,90.72,1456100,0.001766784
90.67,90.94,90.43,90.56,2180530,-0.001763668
91.41,91.59,90.93,91.33,887179,0.00850265
92,92,91.35,91.66,460535,0.003613271
91.43,91.49,91.17,91.32,1116502,-0.003709361
91.13,91.51,90.92,91.42,692274,0.00109505
91.61,92.56,91.49,92.28,1312847,0.009407132
92.27,92.7,92.21,92.41,1333749,0.001408756
92.54,93.42,92.41,93.01,1346726,0.006492804
93.09,93.29,92.8,92.91,1367727,-0.001075153
93.4,93.58,93.24,93.45,1297750,0.005812076
94.96,95.25,93.99,94.67,3100232,0.01305511
94.56,94.69,93.84,94.03,2088003,-0.006760325
94.82,95.42,94.66,94.84,1595418,0.008614272
93.88,94.39,93.74,94.38,1952069,-0.004850274
94.76,95.1,94.28,94.75,1272636,0.003920322
94.9,95.06,94.15,94.74,1721173,-0.000105541
94.22,94.47,93.56,93.61,1865912,-0.01192738
93.32,93.34,92.54,92.79,2270166,-0.008759748
92.18,92.35,91.38,91.75,2170931,-0.011208104
91.64,91.69,90.75,91.2,2242470,-0.00599455
91.73,93.23,91.58,92.99,2892713,0.019627193
91.45,92.65,91.27,92.03,2225400,-0.010323691
91.61,91.82,90.9,91.03,1222100,-0.010866022
90.79,90.92,90.5,90.61,1354900,-0.004613864
91.07,91.54,90.93,91.42,2046198,0.008939411
92.4,93.56,91.88,93.23,2252350,0.019798731
93.26,93.87,93.02,93.03,1659361,-0.002145232
92.9,92.92,91.66,91.67,1767549,-0.01461894
91.02,91.63,90.28,90.44,674700,-0.013417694
90.88,91.16,90.51,91.06,468600,0.006855374
91.65,92.58,91.5,92.48,1967735,0.015594114
92.78,93.28,92.6,93.04,1647529,0.006055363
93.25,94.73,93.2,94.38,2959850,0.014402408
94,94.38,93.67,94.25,1256670,-0.00137741
94.5,94.79,94.2,94.27,2420134,0.000212202
94.18,94.78,94.03,94.68,1315456,0.00434921
94.44,94.71,93.93,94.57,1604760,-0.001161808
94.79,95.3,94.62,94.75,2203500,0.001903352
94.87,94.95,93.31,93.47,2681974,-0.013509235
93.52,94.28,93.4,94.2,1872860,0.007809993
94.2,94.55,94,94.55,906058,0.003715499
95.16,95.63,95.07,95.61,1435230,0.011210999
95.68,95.89,94.73,94.92,3505070,-0.007216818
94.96,96.29,94.93,96.15,2940500,0.012958281
95.55,95.77,95.22,95.49,2676795,-0.006864275
96.41,96.62,95.3,96.51,5423460,0.010681747
97.98,98.16,95.88,96.29,7636565,-0.002279557
95.55,95.75,94.34,94.36,5676629,-0.020043618
94.19,96,94.13,95.95,4371047,0.01685036
