Date,SSO,UBT,UST,UGL,DIG
2007-07-19,11.015347480773926,,,,416.0738220214844
2007-07-20,10.779926300048828,,,,412.77630615234375
2007-07-23,10.86023235321045,,,,415.85150146484375
2007-07-24,10.498295783996582,,,,392.5098571777344
2007-07-25,10.527999877929688,,,,403.84716796875
2007-07-26,10.027451515197754,,,,378.3566589355469
2007-07-27,9.663313865661621,,,,358.6460266113281
2007-07-30,9.922942161560059,,,,366.01898193359375
2007-07-31,9.66441822052002,,,,359.2757873535156
2007-08-01,9.794228553771973,,,,359.2388000488281
2007-08-02,9.930643081665039,,,,353.273681640625
2007-08-03,9.372888565063477,,,,327.2274169921875
2007-08-06,9.741426467895508,,,,331.5251770019531
2007-08-07,9.922942161560059,,,,346.41937255859375
2007-08-08,10.203466415405273,,,,356.97869873046875
2007-08-09,9.619317054748535,,,,339.75030517578125
2007-08-10,9.482900619506836,,,,344.56689453125
2007-08-13,9.577510833740234,,,,341.2323303222656
2007-08-14,9.259576797485352,,,,335.67486572265625
2007-08-15,9.029659271240234,,,,320.0767517089844
2007-08-16,9.125370979309082,,,,314.2227783203125
2007-08-17,9.501605987548828,,,,336.4158020019531
2007-08-20,9.477399826049805,,,,338.8612060546875
2007-08-21,9.51370620727539,,,,328.8946838378906
2007-08-22,9.719425201416016,,,,335.3042907714844
2007-08-23,9.700718879699707,,,,340.4543762207031
2007-08-24,9.922942161560059,,,,355.1262512207031
2007-08-27,9.75242805480957,,,,349.45751953125
2007-08-28,9.348691940307617,,,,332.8218994140625
2007-08-29,9.683117866516113,,,,350.27264404296875
2007-08-30,9.631413459777832,,,,351.013671875
2007-08-31,9.771130561828613,,,,356.7564392089844
2007-09-04,10.024155616760254,,,,373.8735656738281
2007-09-05,9.801931381225586,,,,372.9103698730469
2007-09-06,9.899839401245117,,,,377.9120788574219
2007-09-07,9.602811813354492,,,,367.2045593261719
2007-09-10,9.539005279541016,,,,361.4246826171875
2007-09-11,9.801931381225586,,,,373.5772399902344
2007-09-12,9.84593391418457,,,,379.94989013671875
2007-09-13,9.951544761657715,,,,385.0257263183594
2007-09-14,9.966949462890625,,,,387.1746520996094
2007-09-17,9.839335441589355,,,,388.47137451171875
2007-09-18,10.419090270996094,,,,405.4032897949219
2007-09-19,10.55770206451416,,,,415.29571533203125
2007-09-20,10.417991638183594,,,,419.0748291015625
2007-09-21,10.4509916305542,,,,423.6690673828125
2007-09-24,10.428987503051758,,,,415.5180358886719
2007-09-25,10.395244598388672,,,,409.2709655761719
2007-09-26,10.472445487976074,,,,410.0504455566406
2007-09-27,10.599284172058105,,,,418.8846740722656
2007-09-28,10.530901908874512,,,,413.50250244140625
2007-10-01,10.7911958694458,,,,425.49188232421875
2007-10-02,10.762523651123047,,,,415.5069885253906
2007-10-03,10.686418533325195,,,,408.9739990234375
2007-10-04,10.720609664916992,,,,411.8692321777344
2007-10-05,10.978700637817383,,,,414.615966796875
2007-10-08,10.865097999572754,,,,407.1551513671875
2007-10-09,11.04156494140625,,,,421.5943603515625
2007-10-10,10.995240211486816,,,,431.9877014160156
2007-10-11,10.913622856140137,,,,430.1317138671875
2007-10-12,11.01729679107666,,,,435.4767150878906
2007-10-15,10.846344947814941,,,,444.6079406738281
2007-10-16,10.71729850769043,,,,445.79583740234375
2007-10-17,10.737153053283691,,,,443.4201354980469
2007-10-18,10.673181533813477,,,,446.35260009765625
2007-10-19,10.069869041442871,,,,407.60064697265625
2007-10-22,10.21325397491455,,,,396.650634765625
2007-10-23,10.318037986755371,,,,404.111328125
2007-10-24,10.334579467773438,,,,411.23822021484375
2007-10-25,10.37539005279541,,,,417.58551025390625
2007-10-26,10.618036270141602,,,,424.4895935058594
2007-10-29,10.663257598876953,,,,433.2125549316406
2007-10-30,10.514359474182129,,,,404.927978515625
2007-10-31,10.752593994140625,,,,423.0419921875
2007-11-01,10.238621711730957,,,,404.5196838378906
2007-11-02,10.26288890838623,,,,409.4194030761719
2007-11-05,10.084213256835938,,,,406.6727294921875
2007-11-06,10.382006645202637,,,,427.013671875
2007-11-07,9.831632614135742,,,,402.8122863769531
2007-11-08,9.70369815826416,,,,413.0570068359375
2007-11-09,9.458844184875488,,,,395.4256286621094
2007-11-12,9.297813415527344,,,,364.208740234375
2007-11-13,9.827226638793945,,,,380.2811584472656
2007-11-14,9.720239639282227,,,,379.1306457519531
2007-11-15,9.47317886352539,,,,361.2394104003906
2007-11-16,9.476485252380371,,,,372.78326416015625
2007-11-19,9.198548316955566,,,,363.20654296875
2007-11-20,9.304430961608887,,,,383.6961975097656
2007-11-21,8.953693389892578,,,,371.6325378417969
2007-11-23,9.220605850219727,,,,382.10009765625
2007-11-26,8.86766242980957,,,,366.027587890625
2007-11-27,9.079431533813477,,,,360.6455383300781
2007-11-28,9.598916053771973,,,,369.776611328125
2007-11-29,9.632004737854004,,,,380.8751220703125
2007-11-30,9.838253021240234,,,,383.2878723144531
2007-12-03,9.66729736328125,,,,386.0346984863281
2007-12-04,9.529431343078613,,,,379.241943359375
2007-12-05,9.826122283935547,,,,392.9017028808594
2007-12-06,10.100753784179688,,,,415.35845947265625
2007-12-07,10.125020980834961,,,,413.1313781738281
2007-12-10,10.248547554016113,,,,419.2931213378906
2007-12-11,9.705903053283691,,,,400.1398010253906
2007-12-12,9.876856803894043,,,,419.4044494628906
2007-12-13,9.873551368713379,,,,423.52447509765625
2007-12-14,9.586783409118652,,,,410.57012939453125
2007-12-17,9.281270980834961,,,,392.2333068847656
2007-12-18,9.399285316467285,,,,401.6986389160156
