Date,SSO,UBT,UST,UGL
06/07/2016,33.68,44.95,62.1,39.95
06/08/2016,33.9,45.35,62.2,41.08
06/09/2016,33.81,45.87,62.45,41.58
06/10/2016,33.18,46.6,62.86,41.88
6/13/2016,32.66,46.86,63.1,42.54
6/14/2016,32.53,46.73,63.15,42.58
6/15/2016,32.43,47.01,63.4,43.22
6/16/2016,32.64,47.63,63.54,42.32
6/17/2016,32.38,46.89,63.18,43.45
6/20/2016,32.78,45.95,62.58,42.93
6/21/2016,32.98,45.65,62.28,41.25
6/22/2016,32.82,45.59,62.48,41.28
6/23/2016,33.66,44.67,61.91,40.77
6/24/2016,31.28,46.83,63.61,44.7
6/27/2016,30.12,49.27,64.67,45.25
6/28/2016,31.2,49.43,64.71,44.27
6/29/2016,32.28,48.78,64.41,44.63
6/30/2016,33.13,48.94,64.47,45.03
07/01/2016,33.28,50.59,64.88,46.39
07/05/2016,32.82,51.91,65.57,47.19
07/06/2016,33.21,51.92,65.5,47.78
07/07/2016,33.15,51.82,65.39,47.46
07/08/2016,34.15,52.65,65.59,47.79
07/11/2016,34.4,52.03,64.9,47.02
07/12/2016,34.89,50.01,64.05,45.53
7/13/2016,34.87,51.13,64.41,46.26
7/14/2016,35.26,49.73,63.98,45.64
7/15/2016,35.18,48.87,63.37,45.23
7/18/2016,35.37,48.72,63.36,45.41
7/19/2016,35.28,49.31,63.71,45.49
7/20/2016,35.59,48.87,63.44,44.15
7/21/2016,35.3,48.95,63.66,45.49
7/22/2016,35.64,49.03,63.55,44.81
7/25/2016,35.45,49.08,63.5,44.2
7/26/2016,35.46,49.26,63.62,44.61
7/27/2016,35.38,50.43,64.17,46.05
7/28/2016,35.46,50.23,64.11,45.77
7/29/2016,35.58,51.06,64.7,46.74
08/01/2016,35.51,49.83,64.22,46.87
08/02/2016,35.07,49.42,63.91,47.67
08/03/2016,35.28,49.17,64.02,47.16
08/04/2016,35.33,49.66,64.33,47.32
08/05/2016,35.89,48.63,63.48,45.66
08/08/2016,35.88,48.8,63.46,45.58
08/09/2016,35.9,49.88,63.89,45.9
08/10/2016,35.74,50.07,64.17,46.35
08/11/2016,36.05,49.2,63.51,45.64
08/12/2016,35.99,50.32,64.04,45.51
8/15/2016,36.2,49.13,63.65,45.8
8/16/2016,35.84,49.23,63.44,46.24
8/17/2016,35.95,49.45,63.63,46.34
8/18/2016,36.12,49.65,63.8,46.7
8/19/2016,36.02,49.32,63.42,45.92
8/22/2016,36.01,49.92,63.75,45.62
8/23/2016,36.13,50.02,63.66,45.67
8/24/2016,35.8,49.84,63.69,44.71
8/25/2016,35.73,49.33,63.49,44.57
8/26/2016,35.59,48.74,62.97,44.5
8/29/2016,35.92,50.13,63.55,44.61
8/30/2016,35.8,49.78,63.47,43.79
8/31/2016,35.62,49.81,63.35,43.64
09/01/2016,35.6,50.07,63.42,43.93
09/02/2016,35.92,49.14,63.17,44.73
09/06/2016,36.15,50,63.72,46.42
09/07/2016,36.15,49.75,63.82,46.04
09/08/2016,35.98,48.48,63.12,45.55
09/09/2016,34.23,46.91,62.56,44.93
09/12/2016,35.23,46.98,62.71,44.83
9/13/2016,34.21,45.91,62.17,44.15
9/14/2016,34.16,46.05,62.57,44.54
9/15/2016,34.87,45.72,62.47,43.93
9/16/2016,34.59,46.38,62.73,43.67
9/19/2016,34.6,46.13,62.56,43.86
9/20/2016,34.6,46.77,62.62,43.93
9/21/2016,35.32,47.2,62.81,45.27
9/22/2016,35.78,47.9,63.12,45.45
9/23/2016,35.39,47.83,63.2,45.53
9/26/2016,34.82,48.28,63.57,45.39
9/27/2016,35.24,48.95,63.78,44.74
9/28/2016,35.6,48.84,63.71,44.36
9/29/2016,34.96,49.03,63.77,44.5
9/30/2016,35.49,48.54,63.41,44.01
10/03/2016,35.28,47.85,63.23,43.8
10/04/2016,34.97,46.75,62.66,40.76
10/05/2016,35.25,46.51,62.32,40.7
10/06/2016,35.31,45.8,62.05,39.89
10/07/2016,35.05,45.88,62.29,39.98
10/10/2016,35.4,45.16,61.87,40.24
10/11/2016,34.54,45.01,61.92,39.79
10/12/2016,34.62,45.16,61.89,39.97
10/13/2016,34.38,45.42,62.25,40.19
